Model,Architecture,Metric,Full_mean,Full_sd,No_BUS_UC_mean,No_BUS_UC_sd,Delta_No_BUS_UC,No_UCLM_ML_mean,No_UCLM_ML_sd,Delta_No_UCLM_ML
vgg16,VGG-16,AUC,0.924099727893031,0.030888809442818792,0.9363469872718666,0.02300612569903877,0.01224725937883564,0.9230764449602917,0.030747763637314976,-0.0010232829327392334
vgg16,VGG-16,Sensitivity,0.8676326495777296,0.04442579534141094,0.8946551039569506,0.025743845833229598,0.027022454379221017,0.8667093541231841,0.04487056975696656,-0.000923295454545503
vgg16,VGG-16,Specificity,0.8494168648263539,0.07431516286186876,0.8652174597659986,0.045394015383587685,0.015800594939644697,0.8474420941125842,0.07495263411962635,-0.0019747707137697246
vgg16,VGG-16,Balanced_Accuracy,0.8585247572020418,0.04136458471043408,0.8799362818614747,0.03294095872427528,0.021411524659432857,0.8570757241178842,0.041010445668137094,-0.0014490330841575583
resnet50,ResNet-50,AUC,0.9186557177968332,0.0414669356013214,0.932726169803242,0.03516866810239961,0.014070452006408773,0.9176742276618066,0.04156719290702439,-0.0009814901350265748
resnet50,ResNet-50,Sensitivity,0.8524279724851807,0.07936920380231766,0.8648297611928507,0.09547871715224916,0.012401788707670058,0.8516703967276049,0.07907222048475011,-0.0007575757575757347
resnet50,ResNet-50,Specificity,0.8507530865719144,0.04888602227079486,0.8731338070200595,0.09491536323721388,0.022380720448145097,0.8491139440537389,0.050105141122630016,-0.0016391425181755404
resnet50,ResNet-50,Balanced_Accuracy,0.8515905295285476,0.05382203867608538,0.8689817841064551,0.050810582382172495,0.017391254577907467,0.8503921703906719,0.0539236411889935,-0.001198359137875693
densenet121,DenseNet,AUC,0.9434784205062963,0.022737591579176656,0.9525579680144446,0.01652594530197901,0.009079547508148322,0.9428417560372507,0.022533296526127043,-0.0006366644690455336
densenet121,DenseNet,Sensitivity,0.9081789815828717,0.027437047121796336,0.9044433277448605,0.04291775568715876,-0.0037356538380112214,0.9062490858207392,0.03026470231730777,-0.0019298957621325386
densenet121,DenseNet,Specificity,0.8650701483241274,0.03501596373313946,0.9049098182013088,0.03243579223884033,0.03983966987718135,0.8649508364236974,0.03281736586962467,-0.00011931190043001916
densenet121,DenseNet,Balanced_Accuracy,0.8866245649534996,0.029795473823256598,0.9046765729730847,0.02018937322292707,0.018052008019585064,0.8855999611222183,0.02955939690568718,-0.0010246038312813344
regnety_008,RegNetY,AUC,0.9472983769073282,0.023130708672688505,0.954346680528892,0.02014008760016925,0.007048303621563834,0.9466481757801551,0.02309957672609107,-0.0006502011271730668
regnety_008,RegNetY,Sensitivity,0.9017233357793998,0.03206493830398404,0.9000468058846944,0.043596298853653986,-0.0016765298947053475,0.9012971994157635,0.03157541700124423,-0.00042613636363630913
regnety_008,RegNetY,Specificity,0.8886606015057426,0.03489179805032591,0.9114664711492345,0.022857017399053322,0.02280586964349196,0.887335255936156,0.03503273992680416,-0.0013253455695865224
regnety_008,RegNetY,Balanced_Accuracy,0.8951919686425711,0.028165428249885178,0.9057566385169646,0.02793247979943227,0.010564669874393529,0.8943162276759598,0.028223096989765818,-0.0008757409666113602
convnext_tiny,ConvNeXt-T,AUC,0.9276671742556403,0.022920248995714845,0.9425644923310166,0.01764404694603651,0.014897318075376309,0.9267737798452671,0.023335679097310612,-0.0008933944103731717
convnext_tiny,ConvNeXt-T,Sensitivity,0.8857034936840428,0.05316248682640032,0.9006034775095534,0.01323367214800819,0.01489998382551061,0.8851826603507096,0.054314363915557516,-0.0005208333333331927
convnext_tiny,ConvNeXt-T,Specificity,0.8429193059104765,0.031415469318312954,0.8732492067636736,0.03493235008037824,0.03032990085319709,0.8412237362610557,0.03339185540288,-0.0016955696494207473
convnext_tiny,ConvNeXt-T,Balanced_Accuracy,0.8643113997972597,0.029995810816684225,0.8869263421366135,0.02292073824165541,0.022614942339353794,0.8632031983058827,0.030683714884340223,-0.0011082014913770255
mobilenet_v3_small,MobNetV3,AUC,0.8883299190124321,0.030731041495473486,0.9086834776789118,0.02768272140296646,0.0203535586664797,0.8877505525306144,0.02974818517372997,-0.0005793664818176669
mobilenet_v3_small,MobNetV3,Sensitivity,0.8080697887162417,0.058028138801276156,0.8260631982364517,0.04662838931661239,0.017993409520210002,0.8006957768585343,0.05876122999565766,-0.007374011857707363
mobilenet_v3_small,MobNetV3,Specificity,0.82173321887434,0.02238009568464651,0.8631220886972633,0.028401037043745064,0.041388869822923224,0.8286280360268066,0.03244541859510783,0.006894817152466537
mobilenet_v3_small,MobNetV3,Balanced_Accuracy,0.8149015037952909,0.03079989570612742,0.8445926434668575,0.03221636298508091,0.029691139671566558,0.8146619064426706,0.029438783816543197,-0.00023959735262035764
efficientnet_b0,EffNet-B0,AUC,0.9546270872917214,0.022524224701835127,0.9667017864054369,0.01850878186674302,0.012074699113715504,0.953958444127706,0.02276578914173236,-0.0006686431640153812
efficientnet_b0,EffNet-B0,Sensitivity,0.9176422052394593,0.035367271946885756,0.916373965108043,0.03633059608432448,-0.0012682401314162428,0.915735983719751,0.03342883565859125,-0.0019062215197083177
efficientnet_b0,EffNet-B0,Specificity,0.8825296442042362,0.047909673058517045,0.919986984528434,0.03273408000173957,0.037457340324197785,0.8829246587096871,0.04810447675934972,0.0003950145054508747
efficientnet_b0,EffNet-B0,Balanced_Accuracy,0.9000859247218477,0.03608214185595807,0.9181804748182385,0.02926980090218654,0.018094550096390827,0.899330321214719,0.036121145756371154,-0.000755603507128666
deit_tiny_distilled_patch16_224,DeiT-T,AUC,0.9276884108179256,0.026466654919919688,0.9457988965253874,0.015875573846218925,0.018110485707461765,0.9267153221716496,0.026717239274819553,-0.000973088646275988
deit_tiny_distilled_patch16_224,DeiT-T,Sensitivity,0.8719898332026478,0.03542617122400899,0.9080710853547801,0.020924350176033463,0.036081252152132315,0.8712559316874963,0.03518926114485426,-0.0007339015151515138
deit_tiny_distilled_patch16_224,DeiT-T,Specificity,0.8664233996306081,0.03963987449658782,0.8872864150008016,0.035293862174828564,0.020863015370193527,0.8657483646551206,0.03955017116226798,-0.0006750349754874874
deit_tiny_distilled_patch16_224,DeiT-T,Balanced_Accuracy,0.8692066164166278,0.03378905575760049,0.897678750177791,0.026959724274756732,0.0284721337611632,0.8685021481713084,0.03391240645658234,-0.000704468245319334
swin_t,Swin-T,AUC,0.9338899604254387,0.03029868791917455,0.9477957046692975,0.024940746328266167,0.01390574424385882,0.9327012153285397,0.03141883910589232,-0.0011887450968990354
swin_t,Swin-T,Sensitivity,0.8658141324731714,0.04767274544405362,0.8949749829333566,0.043543551049589804,0.02916085046018524,0.8609998239746524,0.04010379561821259,-0.004814308498519049
swin_t,Swin-T,Specificity,0.8819713951834258,0.05301333981566631,0.8959824563707622,0.05550674248891103,0.014011061187336415,0.8840348786460416,0.062423148481572266,0.002063483462615756
swin_t,Swin-T,Balanced_Accuracy,0.8738927638282986,0.04349769907330079,0.8954787196520595,0.04342945525816242,0.021585955823760883,0.8725173513103469,0.044663443875497075,-0.0013754125179517018
maxvit_t,MaxViT-T,AUC,0.9073837570171965,0.022778905368650692,0.9295867049789175,0.02112693396333237,0.022202947961720954,0.9064425303482329,0.02284185707557129,-0.0009412266689636795
maxvit_t,MaxViT-T,Sensitivity,0.865559072887448,0.05347431647484898,0.8750282190906129,0.04379888404804708,0.009469146203164858,0.8644937319783572,0.05441593728840385,-0.0010653409090908283
maxvit_t,MaxViT-T,Specificity,0.804262369394498,0.04145229639008955,0.8523956609005646,0.03466893923728269,0.0481332915060666,0.8032181879795074,0.04049229642737691,-0.0010441814149906303
maxvit_t,MaxViT-T,Balanced_Accuracy,0.8349107211409731,0.026016647672190724,0.8637119399955887,0.03089536949380606,0.028801218854615618,0.8338559599789322,0.025933324669193757,-0.0010547611620408404
