Model,Architecture,Dataset,Fold_AUC_mean,Fold_AUC_sd,Fold_AUC_no_ml_mean,Fold_AUC_no_ml_sd,Delta_Fold_AUC,Ensemble_AUC,Ensemble_AUC_no_ml,Delta_Ensemble_AUC
convnext_tiny,ConvNeXt-T,BUSI,0.9015992650896717,0.016956659474721903,0.9026173726261237,0.01733909874931162,0.0010181075364520398,0.9215817274568345,0.9227289774858222,0.0011472500289876342
deit_tiny_distilled_patch16_224,DeiT-T,BUSI,0.8992045430820301,0.012530426334247212,0.9024241666571958,0.011075752723370521,0.0032196235751656976,0.9222707058897217,0.9245928468331268,0.0023221409434051044
densenet121,DenseNet,BUSI,0.8808192579911058,0.016270938693782353,0.8829467319778608,0.015931115545664072,0.0021274739867549464,0.9088147483140907,0.9114548409460274,0.0026400926319366524
efficientnet_b0,EffNet-B0,BUSI,0.8996669937574377,0.018567620324621663,0.9004705133596245,0.018098797956910013,0.0008035196021867197,0.922907488986784,0.9236950073304617,0.00078751834367774
maxvit_t,MaxViT-T,BUSI,0.8876025638348957,0.012812461284676481,0.8897475820841242,0.011100737607605602,0.0021450182492285252,0.913261790926363,0.9150234688426963,0.001761677916333304
mobilenet_v3_small,MobNetV3,BUSI,0.8746247155354198,0.02261707607421725,0.8784234392935482,0.01979687169479743,0.0037987237581283972,0.9053072217466646,0.9093750355158031,0.004067813769138562
regnety_008,RegNetY,BUSI,0.8833496878718918,0.01819105715860942,0.8861948652672493,0.016621601980243827,0.002845177395357501,0.908710357642441,0.9114889361170146,0.002778578474573634
resnet50,ResNet-50,BUSI,0.8688185063782701,0.018557468069966918,0.8680562343020151,0.01658912681979773,-0.0007622720762550106,0.8992525627909891,0.8989191830797031,-0.0003333797112859971
swin_t,Swin-T,BUSI,0.9167755809340878,0.015329880493289809,0.9166009387537079,0.014491925942976923,-0.00017464218037999135,0.9327306511890098,0.9326052120151381,-0.00012543917387164427
vgg16,VGG-16,BUSI,0.8766791239534835,0.01901341414502149,0.8770596324540568,0.020208443344463232,0.00038050850057336216,0.9008706182015574,0.901112639079885,0.00024202087832758679
