Model,Architecture,AUC_full_mean,AUC_full_sd,AUC_no_ml_mean,AUC_no_ml_sd,Delta
convnext_tiny,ConvNeXt-T,0.9696925697783103,0.03939273350319412,0.9687046866177301,0.042311337212215396,-0.0009878831605802496
deit_tiny_distilled_patch16_224,DeiT-T,0.9606317907537344,0.04992310698695323,0.9528635422548465,0.06513175112401932,-0.0077682484988877976
densenet121,DenseNet,0.9708429606789759,0.026538987560948638,0.9691473164516642,0.027188236672923288,-0.0016956442273115657
efficientnet_b0,EffNet-B0,0.9747794947161047,0.0426500035055574,0.9736813331595939,0.04439208910988307,-0.0010981615565107683
maxvit_t,MaxViT-T,0.9599118413143659,0.02338883062032854,0.9596499732151905,0.025993624462869402,-0.00026186809917532193
mobilenet_v3_small,MobNetV3,0.927868037673066,0.03472384907842752,0.9294842548755593,0.03861510719953759,0.0016162172024932087
regnety_008,RegNetY,0.9864577668374503,0.01971465524514537,0.9836070016939582,0.025147912082475285,-0.002850765143492051
resnet50,ResNet-50,0.967601585974623,0.021094596165471838,0.9658089157219593,0.02211815510038971,-0.001792670252663786
swin_t,Swin-T,0.9728599097422981,0.033682960954024226,0.970325616412573,0.036400023451987756,-0.0025342933297251235
vgg16,VGG-16,0.9624186606499252,0.047921607073702216,0.9581230942970074,0.05273905114203141,-0.004295566352917857
