Model,Experiment,AUC_mean,AUC_sd,Architecture,p_value_vs_baseline,sig
convnext_tiny,baseline,0.8999234213633125,0.0074806487551001485,ConvNeXt-T,,ns
convnext_tiny,bottom_10,0.9063762350964147,0.007355690956075525,ConvNeXt-T,0.017268642820583924,*
convnext_tiny,bottom_15,0.8887365588538731,0.014627932016142526,ConvNeXt-T,0.2981555982603947,ns
convnext_tiny,bottom_5,0.9042660682188022,0.013630031776735718,ConvNeXt-T,0.4089488398183153,ns
convnext_tiny,no_mask,0.8949399602216527,0.01320218968203971,ConvNeXt-T,0.40937041548039893,ns
convnext_tiny,uniform_10,0.9062613671413832,0.008589067742482021,ConvNeXt-T,0.2017659160607309,ns
convnext_tiny,uniform_15,0.8932855425915486,0.02322641450607924,ConvNeXt-T,0.640811504096163,ns
convnext_tiny,uniform_20,0.8882324161623467,0.008633306989863105,ConvNeXt-T,0.039659220907120804,*
convnext_tiny,uniform_5,0.8999563927207752,0.006178768688723562,ConvNeXt-T,0.9927613640376063,ns
convnext_tiny,uniform_7_5,0.9078019804086322,0.00458483194579735,ConvNeXt-T,0.08242024461480679,ns
deit_tiny_distilled_patch16_224,baseline,0.891977324214803,0.005146782599577812,DeiT-T,,ns
deit_tiny_distilled_patch16_224,bottom_10,0.894956445900384,0.01184694440677399,DeiT-T,0.5614725896354151,ns
deit_tiny_distilled_patch16_224,bottom_15,0.8944129502983376,0.02026702395400005,DeiT-T,0.788781894717858,ns
deit_tiny_distilled_patch16_224,bottom_5,0.8979887471947757,0.009700638925786605,DeiT-T,0.3170666956407783,ns
deit_tiny_distilled_patch16_224,no_mask,0.876527052467002,0.015949200643893175,DeiT-T,0.16785322847918469,ns
deit_tiny_distilled_patch16_224,uniform_10,0.9015273183650461,0.006070770879292119,DeiT-T,0.008760117868989448,**
deit_tiny_distilled_patch16_224,uniform_15,0.8898698163176311,0.005538316821943765,DeiT-T,0.5054664247073062,ns
deit_tiny_distilled_patch16_224,uniform_20,0.886701907020772,0.012372012491735458,DeiT-T,0.2363559472415104,ns
deit_tiny_distilled_patch16_224,uniform_5,0.8924421139958095,0.01631742686390939,DeiT-T,0.956424147137329,ns
deit_tiny_distilled_patch16_224,uniform_7_5,0.8953148764637687,0.00841574610043763,DeiT-T,0.6090504822567809,ns
densenet121,baseline,0.8792759064464322,0.023420045352758583,DenseNet,,ns
densenet121,bottom_10,0.8800512651428937,0.009574210334400497,DenseNet,0.9515964071186176,ns
densenet121,bottom_15,0.8688005871028812,0.03559195945680984,DenseNet,0.6812850383337621,ns
densenet121,bottom_5,0.8734304038459493,0.015216208157087213,DenseNet,0.6492981084451017,ns
densenet121,no_mask,0.8618627753374246,0.026778664121391727,DenseNet,0.4173858797993489,ns
densenet121,uniform_10,0.8758798566277747,0.02061296565712702,DenseNet,0.7052834739575762,ns
densenet121,uniform_15,0.8739547547888236,0.009187604631733279,DenseNet,0.5181539661156307,ns
densenet121,uniform_20,0.8758309313876687,0.010798285549421784,DenseNet,0.7889265763988804,ns
densenet121,uniform_5,0.8621361185267122,0.020112266652097657,DenseNet,0.3890050922468787,ns
densenet121,uniform_7_5,0.8682305016964295,0.01968411357364696,DenseNet,0.21761972733547794,ns
efficientnet_b0,baseline,0.8636586507269651,0.00828293755621057,EffNet-B0,,ns
efficientnet_b0,bottom_10,0.8810946490677614,0.00630829691190622,EffNet-B0,0.01596936646666205,*
efficientnet_b0,bottom_15,0.8814126631284502,0.017450067014110386,EffNet-B0,0.11975739839094403,ns
efficientnet_b0,bottom_5,0.8823241616234669,0.01827646332513476,EffNet-B0,0.17045614160660003,ns
efficientnet_b0,no_mask,0.8748752938173388,0.008200071852184378,EffNet-B0,0.03590654126105502,*
efficientnet_b0,uniform_10,0.8708155624807224,0.016456951337282318,EffNet-B0,0.30694652657190347,ns
efficientnet_b0,uniform_15,0.8780894693738632,0.01615429003473444,EffNet-B0,0.1564018838193752,ns
efficientnet_b0,uniform_20,0.8741259931291946,0.01698444798114031,EffNet-B0,0.25379477696810787,ns
efficientnet_b0,uniform_5,0.8810669956711799,0.01642183332165996,EffNet-B0,0.13690853176187953,ns
efficientnet_b0,uniform_7_5,0.8934376362727476,0.010136962086870453,EffNet-B0,0.01511095798989226,*
swin_t,baseline,0.9060752385105454,0.007586337649421594,Swin-T,,ns
swin_t,bottom_10,0.9019272290233034,0.004501289341032043,Swin-T,0.3427721579040936,ns
swin_t,bottom_15,0.8909328766977591,0.023591643707560683,Swin-T,0.14356198940655177,ns
swin_t,bottom_5,0.9053753948585953,0.011343831719060159,Swin-T,0.8558027809676894,ns
swin_t,no_mask,0.8929563608130099,0.007349365563972279,Swin-T,0.03213565163829219,*
swin_t,uniform_10,0.9067580646876762,0.011272658186776089,Swin-T,0.8550639517083574,ns
swin_t,uniform_15,0.907983322874677,0.008680999825604552,Swin-T,0.7880237851948252,ns
swin_t,uniform_20,0.8981121238872166,0.015561007091892176,Swin-T,0.261615598605968,ns
swin_t,uniform_5,0.8964805734889015,0.022108665268203098,Swin-T,0.45651655092857635,ns
swin_t,uniform_7_5,0.9021197392071982,0.003526707510987492,Swin-T,0.15001636111380223,ns
