Model,Architecture,Fold_mean,Fold_ci_l,Fold_ci_u,Ensemble_mean,Ensemble_ci_l,Ensemble_ci_u
swin_t,Swin-T,0.9065757,0.8873765975236892,0.9236535906791687,0.9233866,0.9043604552745819,0.9401149705052376
convnext_tiny,ConvNeXt-T,0.89399827,0.8736617118120193,0.9128187239170075,0.913401,0.8928636819124222,0.931957858800888
deit_tiny_distilled_patch16_224,DeiT-T,0.8935521,0.8734456270933151,0.911495779454708,0.91507375,0.894425842165947,0.9330761194229126
vgg16,VGG-16,0.8750327,0.8538175225257874,0.8949843198060989,0.89858437,0.8770532384514809,0.9182758286595344
regnety_008,RegNetY,0.8744275,0.8535714998841286,0.8941138029098511,0.904013,0.8827526614069938,0.9239216268062591
efficientnet_b0,EffNet-B0,0.8729191,0.8517311796545982,0.8923793613910675,0.90198946,0.880122409760952,0.9215136498212815
densenet121,DenseNet,0.8726923,0.8514679297804832,0.8927410632371903,0.90077883,0.8788401246070862,0.9215551435947418
maxvit_t,MaxViT-T,0.8701927,0.8488557189702988,0.8902428433299064,0.8975441,0.8755797699093819,0.917097632586956
mobilenet_v3_small,MobNetV3,0.8645936,0.8426684007048607,0.8845663264393806,0.8960819,0.8735967189073562,0.9160768702626229
resnet50,ResNet-50,0.85238767,0.8303179696202279,0.8722632914781571,0.8874719,0.8637944176793099,0.9088082998991013
