Model,Architecture,Dataset,n,Fold_AUC_mean,Fold_AUC_sd,Ensemble_AUC
convnext_tiny,ConvNeXt-T,BUSI,665,0.9015992650896717,0.016956659474721903,0.9215817274568345
convnext_tiny,ConvNeXt-T,QAMEBI,232,0.8635787275303946,0.011704835869123912,0.8798388901320205
deit_tiny_distilled_patch16_224,DeiT-T,BUSI,665,0.8992045430820301,0.012530426334247212,0.9222707058897217
deit_tiny_distilled_patch16_224,DeiT-T,QAMEBI,232,0.8626836727082867,0.004545580364046438,0.8819273513836056
densenet121,DenseNet,BUSI,665,0.8808192579911058,0.016270938693782353,0.9088147483140907
densenet121,DenseNet,QAMEBI,232,0.8540016409338407,0.014422357280683347,0.8760349071380621
efficientnet_b0,EffNet-B0,BUSI,665,0.8996669937574377,0.018567620324621663,0.922907488986784
efficientnet_b0,EffNet-B0,QAMEBI,232,0.8486462295815619,0.01423343558957798,0.8751398523159544
maxvit_t,MaxViT-T,BUSI,665,0.8876025638348957,0.012812461284676481,0.913261790926363
maxvit_t,MaxViT-T,QAMEBI,232,0.8272544193331841,0.024169530281284428,0.8550011188185276
mobilenet_v3_small,MobNetV3,BUSI,665,0.8746247155354198,0.02261707607421725,0.9053072217466646
mobilenet_v3_small,MobNetV3,QAMEBI,232,0.8151115089132542,0.03989955697289913,0.8542552398001044
regnety_008,RegNetY,BUSI,665,0.8833496878718918,0.01819105715860942,0.908710357642441
regnety_008,RegNetY,QAMEBI,232,0.8457074662489743,0.01638801614484737,0.87692996196017
resnet50,ResNet-50,BUSI,665,0.8688185063782701,0.018557468069966918,0.8992525627909891
resnet50,ResNet-50,QAMEBI,232,0.825583650331916,0.010208955960116792,0.8478406802416647
swin_t,Swin-T,BUSI,665,0.9167755809340878,0.015329880493289809,0.9327306511890098
swin_t,Swin-T,QAMEBI,232,0.8652047437905571,0.015610127036809189,0.881330648168867
vgg16,VGG-16,BUSI,665,0.8766791239534835,0.01901341414502149,0.9008706182015574
vgg16,VGG-16,QAMEBI,232,0.8460207354367121,0.012862856138504013,0.8727530394570001
