dataset_rel,dash_path,ui_paths,out_path,dash_sum,ui_sum,union_sum,match_type,key
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case255_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case255_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case255_ui_dash_union.png,0,0,0,dash+ui(1),case255
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case254_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case254_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case254_ui_dash_union.png,0,0,0,dash+ui(1),case254
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case251_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case251_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case251_ui_dash_union.png,0,0,0,dash+ui(1),case251
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case250_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case250_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case250_ui_dash_union.png,0,0,0,dash+ui(1),case250
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case249_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case249_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case249_ui_dash_union.png,0,0,0,dash+ui(1),case249
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case248_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case248_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case248_ui_dash_union.png,0,0,0,dash+ui(1),case248
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case247_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case247_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case247_ui_dash_union.png,0,0,0,dash+ui(1),case247
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case245_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case245_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case245_ui_dash_union.png,0,0,0,dash+ui(1),case245
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case244_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case244_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case244_ui_dash_union.png,14,0,14,dash+ui(1),case244
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case243_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case243_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case243_ui_dash_union.png,0,0,0,dash+ui(1),case243
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case239_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case239_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case239_ui_dash_union.png,0,0,0,dash+ui(1),case239
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case238_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case238_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case238_ui_dash_union.png,0,0,0,dash+ui(1),case238
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case234_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case234_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case234_ui_dash_union.png,0,0,0,dash+ui(1),case234
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case233_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case233_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case233_ui_dash_union.png,0,0,0,dash+ui(1),case233
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case230_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case230_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case230_ui_dash_union.png,0,0,0,dash+ui(1),case230
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case228_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case228_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case228_ui_dash_union.png,0,0,0,dash+ui(1),case228
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case227_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case227_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case227_ui_dash_union.png,0,0,0,dash+ui(1),case227
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case226_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case226_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case226_ui_dash_union.png,0,0,0,dash+ui(1),case226
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case225_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case225_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case225_ui_dash_union.png,0,0,0,dash+ui(1),case225
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case221_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case221_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case221_ui_dash_union.png,0,0,0,dash+ui(1),case221
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case219_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case219_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case219_ui_dash_union.png,0,0,0,dash+ui(1),case219
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case218_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case218_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case218_ui_dash_union.png,0,0,0,dash+ui(1),case218
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case212_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case212_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case212_ui_dash_union.png,0,0,0,dash+ui(1),case212
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case211_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case211_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case211_ui_dash_union.png,0,0,0,dash+ui(1),case211
internal/USG/malignant,/workspace/dash_preds_v2/internal/USG/malignant/masks_dashes_pred/case206_dash.png,/workspace/ui_masks_all/internal/USG/malignant/ui_masks/case206_ui_mask.png,/workspace/ui_dash_union_masks/internal/USG/malignant/case206_ui_dash_union.png,0,0,0,dash+ui(1),case206
