dataset_rel,class,key,union_path,lesion_path,lesion_px,union_px,inter_px,iou,frac_lesion_covered,frac_union_inside_lesion,drop,image_path,frac_th,min_inter_px_th
external/BUSI/benign,benign,benign_1,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_1_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_1_mask.png,984,1248,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_1.png,0.05,50
external/BUSI/benign,benign,benign_10,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_10_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_10_mask.png,32918,72,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_10.png,0.05,50
external/BUSI/benign,benign,benign_100_lesion1,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_100_lesion1_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_100_lesion1_mask.png,7090,0,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_100_lesion1.png,0.05,50
external/BUSI/benign,benign,benign_100_lesion2,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_100_lesion2_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_100_lesion2_mask.png,2921,0,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_100_lesion2.png,0.05,50
external/BUSI/benign,benign,benign_101,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_101_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_101_mask.png,4167,285,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_101.png,0.05,50
external/BUSI/benign,benign,benign_102,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_102_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_102_mask.png,18857,8332,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_102.png,0.05,50
external/BUSI/benign,benign,benign_103,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_103_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_103_mask.png,49587,1197,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_103.png,0.05,50
external/BUSI/benign,benign,benign_104,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_104_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_104_mask.png,3930,1117,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_104.png,0.05,50
external/BUSI/benign,benign,benign_105,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_105_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_105_mask.png,8813,0,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_105.png,0.05,50
external/BUSI/benign,benign,benign_106,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_106_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_106_mask.png,11670,0,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_106.png,0.05,50
external/BUSI/benign,benign,benign_107,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_107_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_107_mask.png,9871,0,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_107.png,0.05,50
external/BUSI/benign,benign,benign_108,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_108_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_108_mask.png,13857,1041,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_108.png,0.05,50
external/BUSI/benign,benign,benign_109,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_109_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_109_mask.png,28435,375,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_109.png,0.05,50
external/BUSI/benign,benign,benign_11,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_11_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_11_mask.png,1951,1691,194,0.056265,0.099436,0.114725,1,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_11.png,0.05,50
external/BUSI/benign,benign,benign_110,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_110_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_110_mask.png,37724,285,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_110.png,0.05,50
external/BUSI/benign,benign,benign_111,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_111_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_111_mask.png,2367,0,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_111.png,0.05,50
external/BUSI/benign,benign,benign_112,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_112_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_112_mask.png,4986,1642,923,0.161788,0.185118,0.562119,1,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_112.png,0.05,50
external/BUSI/benign,benign,benign_113,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_113_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_113_mask.png,21535,0,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_113.png,0.05,50
external/BUSI/benign,benign,benign_114,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_114_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_114_mask.png,21951,0,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_114.png,0.05,50
external/BUSI/benign,benign,benign_115,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_115_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_115_mask.png,4295,1107,674,0.142555,0.156927,0.608853,1,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_115.png,0.05,50
external/BUSI/benign,benign,benign_116,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_116_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_116_mask.png,5501,0,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_116.png,0.05,50
external/BUSI/benign,benign,benign_117,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_117_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_117_mask.png,13557,0,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_117.png,0.05,50
external/BUSI/benign,benign,benign_118,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_118_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_118_mask.png,6834,0,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_118.png,0.05,50
external/BUSI/benign,benign,benign_119,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_119_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_119_mask.png,5148,477,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_119.png,0.05,50
external/BUSI/benign,benign,benign_12,/workspace/ui_dash_union_masks/external/BUSI/benign/benign_12_ui_dash_union.png,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/masks/benign_12_mask.png,2890,0,0,0.0,0.0,0.0,0,/workspace/breastdataset_NORMALIZED/breastdataset_NORMALIZED/external/BUSI/benign/images/benign_12.png,0.05,50
