,,Test_BalAcc,Test_BalAcc,Test_Sens,Test_Sens,Test_Spec,Test_Spec,Test_AUC,Test_AUC,Test_AUPRC,Test_AUPRC,ECE_Improvement,ECE_Improvement
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Experiment,Model,,,,,,,,,,,,
baseline,convnext_tiny,0.811,0.013,0.871,0.06,0.751,0.061,0.9,0.007,0.851,0.006,0.013,0.013
baseline,deit_tiny_distilled_patch16_224,0.81,0.015,0.843,0.041,0.777,0.062,0.892,0.005,0.846,0.01,-0.002,0.01
baseline,densenet121,0.788,0.028,0.856,0.063,0.72,0.106,0.879,0.023,0.818,0.033,0.014,0.009
baseline,efficientnet_b0,0.775,0.02,0.836,0.07,0.714,0.097,0.864,0.008,0.799,0.015,0.004,0.002
baseline,swin_t,0.832,0.015,0.837,0.065,0.828,0.043,0.906,0.008,0.856,0.009,0.009,0.007
bottom_10,convnext_tiny,0.832,0.009,0.835,0.028,0.829,0.021,0.906,0.007,0.871,0.014,0.007,0.01
bottom_10,deit_tiny_distilled_patch16_224,0.816,0.012,0.832,0.035,0.8,0.029,0.895,0.012,0.853,0.016,0.016,0.011
bottom_10,densenet121,0.804,0.012,0.833,0.028,0.774,0.05,0.88,0.01,0.822,0.015,0.01,0.006
bottom_10,efficientnet_b0,0.778,0.05,0.84,0.063,0.716,0.157,0.881,0.006,0.826,0.007,0.007,0.009
bottom_10,swin_t,0.821,0.006,0.849,0.037,0.794,0.042,0.902,0.005,0.862,0.014,0.007,0.01
bottom_15,convnext_tiny,0.808,0.02,0.819,0.044,0.797,0.05,0.889,0.015,0.833,0.026,0.01,0.01
bottom_15,deit_tiny_distilled_patch16_224,0.816,0.019,0.855,0.039,0.777,0.043,0.894,0.02,0.848,0.032,0.004,0.007
bottom_15,densenet121,0.779,0.033,0.765,0.129,0.793,0.07,0.869,0.036,0.814,0.047,0.007,0.009
bottom_15,efficientnet_b0,0.792,0.016,0.806,0.081,0.777,0.076,0.881,0.017,0.834,0.02,0.008,0.012
bottom_15,swin_t,0.812,0.023,0.831,0.034,0.793,0.037,0.891,0.024,0.852,0.027,0.007,0.013
bottom_5,convnext_tiny,0.814,0.023,0.872,0.034,0.755,0.075,0.904,0.014,0.855,0.024,0.011,0.009
bottom_5,deit_tiny_distilled_patch16_224,0.814,0.019,0.854,0.026,0.774,0.045,0.898,0.01,0.85,0.022,0.008,0.015
bottom_5,densenet121,0.793,0.009,0.823,0.061,0.762,0.055,0.873,0.015,0.819,0.02,0.015,0.011
bottom_5,efficientnet_b0,0.792,0.024,0.858,0.037,0.726,0.079,0.882,0.018,0.826,0.026,0.009,0.008
bottom_5,swin_t,0.826,0.012,0.812,0.058,0.84,0.039,0.905,0.011,0.866,0.011,0.006,0.01
no_mask,convnext_tiny,0.813,0.014,0.823,0.046,0.803,0.036,0.895,0.013,0.851,0.025,0.011,0.012
no_mask,deit_tiny_distilled_patch16_224,0.794,0.016,0.811,0.024,0.777,0.049,0.877,0.016,0.839,0.022,0.009,0.015
no_mask,densenet121,0.766,0.019,0.776,0.087,0.756,0.092,0.862,0.027,0.806,0.047,0.019,0.01
no_mask,efficientnet_b0,0.79,0.022,0.783,0.075,0.796,0.111,0.875,0.008,0.82,0.017,0.007,0.012
no_mask,swin_t,0.818,0.009,0.798,0.03,0.837,0.027,0.893,0.007,0.849,0.016,0.011,0.014
uniform_10,convnext_tiny,0.819,0.011,0.878,0.021,0.759,0.039,0.906,0.009,0.868,0.014,0.006,0.006
uniform_10,deit_tiny_distilled_patch16_224,0.811,0.017,0.856,0.027,0.766,0.056,0.902,0.006,0.859,0.01,0.004,0.005
uniform_10,densenet121,0.797,0.018,0.831,0.046,0.763,0.051,0.876,0.021,0.812,0.032,0.017,0.015
uniform_10,efficientnet_b0,0.794,0.014,0.801,0.077,0.787,0.076,0.871,0.016,0.808,0.024,0.006,0.007
uniform_10,swin_t,0.834,0.013,0.822,0.045,0.847,0.023,0.907,0.011,0.865,0.014,0.007,0.009
uniform_15,convnext_tiny,0.812,0.022,0.824,0.054,0.8,0.07,0.893,0.023,0.848,0.031,0.016,0.009
uniform_15,deit_tiny_distilled_patch16_224,0.79,0.02,0.849,0.039,0.732,0.078,0.89,0.006,0.843,0.01,0.019,0.024
uniform_15,densenet121,0.789,0.02,0.843,0.04,0.734,0.067,0.874,0.009,0.816,0.026,0.014,0.014
uniform_15,efficientnet_b0,0.809,0.012,0.803,0.047,0.814,0.05,0.878,0.016,0.817,0.025,0.01,0.011
uniform_15,swin_t,0.839,0.007,0.863,0.034,0.814,0.028,0.908,0.009,0.861,0.007,0.007,0.008
uniform_20,convnext_tiny,0.804,0.012,0.829,0.026,0.779,0.047,0.888,0.009,0.85,0.007,0.011,0.007
