Model,Fold,Experiment,Border_Type,Border_Ratio,Train_Time_sec,Avg_Epoch_sec,Thr_Strategy,Temperature,Val_ECE_Uncal,Val_ECE_Cal,ECE_Improvement,Val_AUC,Val_AUROC_CI_L,Val_AUROC_CI_U,Val_AUPRC,Val_BalAcc,Val_YoudenJ,Val_YoudenThr,Val_Sens@Youden,Val_Spec@Youden,Val_OP_Thr,Val_Sens_CI_L,Val_Sens_CI_U,Val_Spec_CI_L,Val_Spec_CI_U,Val_PPV_CI_L,Val_PPV_CI_U,Val_NPV_CI_L,Val_NPV_CI_U,Val_Spec@90Sens,Val_Sens@90Spec,Test_Thr,Test_AUC,Test_AUROC_CI_L,Test_AUROC_CI_U,Test_AUPRC,Test_Acc,Test_BalAcc,Test_F1,Test_Sens,Test_Spec,Test_ECE,Test_Sens_CI_L,Test_Sens_CI_U,Test_Spec_CI_L,Test_Spec_CI_U,Test_PPV_CI_L,Test_PPV_CI_U,Test_NPV_CI_L,Test_NPV_CI_U,Test_MCC,Test_Kappa,Test_Brier
vgg16,1,baseline,uniform,0.0,69.80601359345019,4.582441389095038,youden,1.2212029695510864,0.07566367681834196,0.0641012973882522,0.011562379430089767,0.8634986225895316,,,0.8296942365951475,0.7901515151515152,0.5953463203463203,0.5687087178230286,0.7537878787878788,0.8415584415584416,0.5680000000000001,0.6972435911454209,0.8045363718731351,0.8011793112199267,0.8765850503347348,0.7090834137266594,0.8155258841649183,0.7920438730462249,0.8686082509400211,0.6155844155844156,0.5946969696969697,0.5680000000000001,0.850985418151264,0.824822513055594,0.8756034556109805,0.7774178582947862,0.7759197324414716,0.733200561576669,0.6528497409326425,0.5658682634730539,0.9005328596802842,0.0868387135698843,0.5108304316981253,0.6197276884525134,0.8727801546649566,0.9239865756500035,0.7136849071853886,0.8224767290550912,0.743700586746838,0.8089776349342568,0.5060345600702179,0.4931248822753814,0.1546989708461116
vgg16,2,baseline,uniform,0.0,51.80752684362233,4.636308970343736,youden,0.9311491847038269,0.0477450823428126,0.03890522297013094,0.008839859372681662,0.8579378544767076,,,0.7545797972311916,0.7401328227252897,0.5776915992050027,0.360510915517807,0.7795918367346939,0.7980997624703088,0.36,0.7224127814293728,0.8298698617939841,0.7565285945684517,0.8354215061345386,0.6338985459187223,0.7459798042747141,0.8232291652725727,0.8942423997393155,0.5961995249406176,0.5510204081632653,0.36,0.8886791248763575,0.8649074408908648,0.910781766839323,0.8369259072756694,0.8160535117056856,0.8199737292732474,0.7717842323651453,0.8353293413173652,0.8046181172291297,0.029371133682586936,0.7911169264952731,0.873473121497654,0.7694139484252587,0.8365877328126767,0.6696460025987551,0.7614602230099644,0.8614128851977106,0.9173904056945836,0.6242594030002467,0.6192101965889589,0.12739917401367776
vgg16,3,baseline,uniform,0.0,79.5254629086703,4.431410738625205,youden,1.2045022249221802,0.0526827039336006,0.04708601614032252,0.005596687793278078,0.8619431866558303,,,0.77694645395601,0.7800417972831766,0.5927377220480669,0.38831475377082825,0.8275862068965517,0.7651515151515151,0.388,0.7761842036094926,0.8713730307478855,0.7202407759099493,0.8060483514779389,0.6445317862986575,0.7496625953012563,0.8308217720805349,0.9040937194167081,0.6818181818181819,0.5670498084291188,0.388,0.8717307835483562,0.8459962402016571,0.894952058582657,0.8044336047130654,0.7993311036789298,0.8042166111826081,0.7534246575342466,0.8233532934131736,0.7850799289520426,0.05927293245974458,0.7781383285923804,0.8627236272935206,0.7488082685034935,0.8183280281208068,0.6464792976457777,0.7394747750331413,0.850732745609514,0.9091326062011649,0.5923438650657843,0.586299137546697,0.13709519675271534
vgg16,4,baseline,uniform,0.0,61.83372074365616,4.640727865933017,youden,1.174275279045105,0.0707720735738951,0.06388323707165168,0.006888836502243423,0.8527081663874118,,,0.7702153826838677,0.7662362497268158,0.5674674000145699,0.39558571577072144,0.833976833976834,0.7334905660377358,0.394,0.7829562093258259,0.8771667293302768,0.6886907347749165,0.774997403802346,0.6024697831192527,0.7077521972269567,0.8398860614156793,0.9106811675397403,0.5259433962264151,0.61003861003861,0.394,0.8792450622733221,0.8551625434743302,0.9023537294859659,0.8307255669384688,0.7681159420289855,0.7903101434785846,0.7380352644836272,0.8772455089820359,0.7033747779751333,0.08378464775523346,0.8371726875590711,0.9104511785379905,0.6637582895064875,0.7408413317295364,0.5911556159200608,0.6809838081026132,0.8748751872435544,0.9318294676869784,0.5615649616916415,0.5392479836419403,0.14150983850479112
vgg16,5,baseline,uniform,0.0,92.91797570325434,4.320290581988437,youden,1.2805551290512085,0.10211129581171367,0.06098977253808603,0.04112152327362764,0.852100097267663,,,0.7830414186961401,0.7483331859580865,0.54310725970466,0.4219569265842438,0.7756653992395437,0.7674418604651163,0.42,0.720383665803956,0.824618309932636,0.7245825703709279,0.8065767484231674,0.6151174065778336,0.7236148022669087,0.8087597554281865,0.882492685037338,0.5837209302325581,0.5551330798479087,0.42,0.8853500813648015,0.8617698439710277,0.9068454121951479,0.8327535343044863,0.7859531772575251,0.799039576264877,0.7473684210526316,0.8502994011976048,0.7477797513321492,0.09610642796359466,0.8074447211237858,0.8868032311039417,0.7097749038456763,0.7831612653026183,0.6196873655020443,0.7113116145879639,0.8624459036168605,0.9201759426189766,0.5789897055431622,0.5663524292965918,0.14422173168841443
resnet50,1,baseline,uniform,0.0,39.593179075047374,4.167607079363531,youden,1.1897763013839722,0.07490018886644594,0.05632175574615851,0.018578433120287424,0.8213597009051554,,,0.7794229038759595,0.7405844155844157,0.5061688311688313,0.527060866355896,0.6931818181818182,0.8129870129870129,0.53,0.6297776184522872,0.7446981521177856,0.7731682874536179,0.8530674940208037,0.6596689069116439,0.7738446804300966,0.7496330875151491,0.8317835203655812,0.4701298701298702,0.5227272727272727,0.53,0.800969996064709,0.7700742387338999,0.8279115835823913,0.693868988849078,0.7224080267558528,0.6802203762989119,0.5801011804384486,0.5149700598802395,0.8454706927175843,0.07026147027162538,0.4599475898500213,0.569724787038677,0.8129226782604034,0.8743384708974868,0.6030108771542189,0.7213683749454537,0.7104330910775214,0.7794345917385453,0.3845042081650156,0.3776890520995573,0.17546616130591797
resnet50,2,baseline,uniform,0.0,49.8076899331063,3.5784882861547747,youden,1.3554484844207764,0.11274749769859978,0.09208727601703044,0.020660221681569335,0.8651316108391098,,,0.7971913987543011,0.7927432255562558,0.5990014057879685,0.5756571292877197,0.7510204081632653,0.847980997624703,0.5720000000000001,0.6919836746386414,0.803873366826557,0.810062841895045,0.8809165675059346,0.6827638018701356,0.7952235950061267,0.8165251128270845,0.8864984583288595,0.5486935866983373,0.6244897959183674,0.5720000000000001,0.8531338743472203,0.8262636804543667,0.8781344061433085,0.7840005325702436,0.7837235228539576,0.7692536773699492,0.7104477611940299,0.7125748502994012,0.8259325044404974,0.10794043573971376,0.6608030747713856,0.760531053481107,0.7920363296203593,0.8563625058442423,0.6565544663212264,0.7563959464137358,0.7951097158603524,0.8591333209799568,0.5378584557502011,0.5378523511321446,0.1641684937676241
resnet50,3,baseline,uniform,0.0,42.81940360739827,4.077312520518899,youden,1.2466559410095215,0.09556877514973985,0.07508410138036925,0.020484673769370604,0.8676322613104221,,,0.7844312372110388,0.7535266457680251,0.5969174503657262,0.22672297060489655,0.8620689655172413,0.7348484848484849,0.252,0.7929858084648332,0.8848515032007318,0.706963972760398,0.7942662758637564,0.6378831770652633,0.7421484521732125,0.8395195606035676,0.9117941124226926,0.6641414141414141,0.5402298850574713,0.252,0.8699652205358378,0.844872820965529,0.8924503568351752,0.7866008740296577,0.7859531772575251,0.8002573893066443,0.7486910994764397,0.8562874251497006,0.7442273534635879,0.05952846705955074,0.8140111646135018,0.8920991350071593,0.7060764563069264,0.7797928941287484,0.6183253611500215,0.7096164320776119,0.866038481915822,0.9232387545098144,0.5811101519228041,0.5673503019584594,0.1416115625862887
resnet50,4,baseline,uniform,0.0,41.24641668237746,3.804151020757854,youden,1.3303520679473877,0.11447184524153896,0.09425247336518276,0.020219371876356196,0.8508323013039994,,,0.7857987432557749,0.7606723974648503,0.5504844467108618,0.6009833216667175,0.7297297297297297,0.8207547169811321,0.6,0.6712804288910796,0.7828367748913638,0.7808663003492684,0.8560956444665349,0.6546873151740739,0.7668874842345835,0.7932184105269083,0.8670649067306111,0.5731132075471699,0.5752895752895753,0.6,0.8723317131279182,0.8461612299379926,0.8962344848491294,0.8096033600680568,0.8037904124860646,0.803506663404984,0.7528089887640449,0.8023952095808383,0.8046181172291297,0.12468595717231033,0.7555862943494442,0.8437484893754967,0.7694139484252587,0.8365877328126767,0.6603672767239539,0.7543137707379092,0.8410697529693777,0.9002671222935142,0.5942867917206447,0.5911746426351772,0.15755059114837852
resnet50,5,baseline,uniform,0.0,34.884295631200075,4.231154238106683,youden,1.019241452217102,0.07271884676353928,0.07500357336726196,-0.0022847266037226838,0.810372269873552,,,0.7170731821195888,0.7251879034397383,0.4937571845432841,0.3777022659778595,0.8821292775665399,0.6116279069767442,0.376,0.836879289170229,0.9184909606959695,0.5614001216477577,0.6556897109128541,0.5299389349415642,0.62886856154978,0.853191618686172,0.9269725700177279,0.5372093023255814,0.46387832699619774,0.376,0.8659767498750279,0.8402666691483818,0.8894092809053296,0.7707563710099933,0.7614269788182831,0.7837637336339753,0.7311557788944724,0.8712574850299402,0.6962699822380106,0.07876843247259475,0.8305248528727457,0.9052388286518135,0.6564365733144404,0.7340289740300374,0.5840401286269834,0.6740258607674103,0.8691620989810386,0.9275346204331201,0.5489701113979539,0.5264926146286594,0.14539483700639788
