Model,Fold,Experiment,Border_Type,Border_Ratio,Train_Time_sec,Avg_Epoch_sec,Thr_Strategy,Temperature,Val_ECE_Uncal,Val_ECE_Cal,ECE_Improvement,Val_AUC,Val_AUROC_CI_L,Val_AUROC_CI_U,Val_AUPRC,Val_BalAcc,Val_YoudenJ,Val_YoudenThr,Val_Sens@Youden,Val_Spec@Youden,Val_OP_Thr,Val_Sens_CI_L,Val_Sens_CI_U,Val_Spec_CI_L,Val_Spec_CI_U,Val_PPV_CI_L,Val_PPV_CI_U,Val_NPV_CI_L,Val_NPV_CI_U,Val_Spec@90Sens,Val_Sens@90Spec,Test_Thr,Test_AUC,Test_AUROC_CI_L,Test_AUROC_CI_U,Test_AUPRC,Test_Acc,Test_BalAcc,Test_F1,Test_Sens,Test_Spec,Test_ECE,Test_Sens_CI_L,Test_Sens_CI_U,Test_Spec_CI_L,Test_Spec_CI_U,Test_PPV_CI_L,Test_PPV_CI_U,Test_NPV_CI_L,Test_NPV_CI_U,Test_MCC,Test_Kappa,Test_Brier
swin_t,1,baseline,uniform,0.0,60.039992570877075,5.1845570443706075,youden,1.1763594150543213,0.06421876580487414,0.058813087619232644,0.005405678185641492,0.8708284140102324,,,0.8256864211489311,0.7948593073593073,0.6122294372294372,0.47002193331718445,0.7992424242424242,0.8129870129870129,0.47000000000000003,0.7457767916209161,0.845851654507542,0.770383621015984,0.8506990281328017,0.6906592330193023,0.7952832940809841,0.8149026070243411,0.8896098178265347,0.6363636363636364,0.5984848484848485,0.47000000000000003,0.8939970857574371,0.8725248880569235,0.9154401676221271,0.8419747030723812,0.8283166109253066,0.8084310951808639,0.7601246105919003,0.7305389221556886,0.8863232682060391,0.036295031948033775,0.6795493089796867,0.7773873982958442,0.8571638062662185,0.9113465295345733,0.7425567132288984,0.8361387706362742,0.8155604033124136,0.8753034036249352,0.6280331626532731,0.6267851835841461,0.1230922524768771
swin_t,2,baseline,uniform,0.0,52.90137669071555,5.077817303687334,youden,1.1665043830871582,0.053526837613668526,0.03312048897169553,0.020406348641972993,0.8745164574143196,,,0.7634792295117501,0.7933782539143923,0.6263027776431238,0.3766734302043915,0.8163265306122449,0.8099762470308789,0.354,0.7754267527418309,0.8735682976201661,0.7540042484828682,0.8332298124466795,0.6460925625557719,0.754545336421448,0.8524047710972079,0.9185193112270297,0.669833729216152,0.6326530612244898,0.354,0.9139075312961996,0.8941369481286096,0.9324202837663925,0.8537754164840419,0.8205128205128205,0.831441911913296,0.7838926174496644,0.874251497005988,0.7886323268206039,0.04832448075663551,0.8338455681417123,0.9078482986988025,0.7525460395732316,0.8216567708921676,0.6639899294439381,0.7538739145554967,0.8849805553010804,0.937007255819287,0.6431700406427701,0.6331959249918089,0.11411460464263476
swin_t,3,baseline,uniform,0.0,41.551010416820645,5.059058837359771,youden,1.1099581718444824,0.05387930369608479,0.04532795287158392,0.00855135082450087,0.855731645961531,,,0.7757702195843803,0.773685127133403,0.5835074886799025,0.43969234824180603,0.7931034482758621,0.7904040404040404,0.438,0.738833483804362,0.8405826447529188,0.7469500100844821,0.829455143128011,0.6580416130889155,0.7651154282138517,0.8124161974729229,0.8874922219016357,0.6439393939393939,0.5555555555555556,0.438,0.9098020654960062,0.8876949032662916,0.9298728475553334,0.8564156488464634,0.8338907469342252,0.8469703576860488,0.8010680907877169,0.8982035928143712,0.7957371225577264,0.09008445492722385,0.8606600762676565,0.9284674970487435,0.7600330193278837,0.8283027157031704,0.6771370937677612,0.7654347563244808,0.9028205921126399,0.9506579556497078,0.6728251746829722,0.6613233054508874,0.12137570920448133
swin_t,4,baseline,uniform,0.0,40.69523858465254,4.966971680289134,youden,0.9867336750030518,0.07775654704862248,0.07205841908474095,0.005698127963881527,0.8408246521454068,,,0.7809634584837759,0.7587327893931668,0.5530341662417134,0.605645477771759,0.6756756756756757,0.8773584905660378,0.598,0.6149634019310747,0.7323117270552284,0.8422978647061276,0.907033663135805,0.7106978397895208,0.8239300239184993,0.7771021151231328,0.8503204555420252,0.49056603773584906,0.6254826254826255,0.598,0.9084513034322119,0.8855637304431988,0.9281611288967359,0.8629431295881669,0.8260869565217391,0.8316200636028122,0.7851239669421488,0.8532934131736527,0.8099467140319716,0.1369873519525879,0.8107252971742568,0.8894538926856064,0.7750548254306133,0.8415463013709084,0.68005911968444,0.7705562051987435,0.8737531124559981,0.9273529220983655,0.6464121370792363,0.6406157702521535,0.1397476260360782
swin_t,5,baseline,uniform,0.0,41.40217778272927,5.051842435495928,youden,0.9016925692558289,0.11275990758881424,0.10944335536781326,0.003316552221000982,0.8413033866831726,,,0.7521991335178817,0.7505128658590503,0.5444336369263418,0.6080155372619629,0.7072243346007605,0.8372093023255813,0.608,0.6482045373017727,0.7615045514138392,0.7988550246872893,0.8708434198010515,0.6675878980360042,0.7802066065679478,0.7847752493034672,0.8583689368770915,0.5651162790697675,0.5703422053231939,0.608,0.9042182065708724,0.8810619436083427,0.9257302889779944,0.8657747005475801,0.8472686733556298,0.8430137947905255,0.8011611030478955,0.8263473053892215,0.8596802841918295,0.13217528618730962,0.781376396972619,0.8654177125343013,0.8282149818133857,0.8873082915193199,0.7305630201056741,0.8196698975495389,0.8638653430675979,0.9177340204525223,0.6781959514120476,0.6773660844384118,0.13898096759714648
convnext_tiny,1,baseline,uniform,0.0,60.949168948456645,6.5223209791713295,youden,1.2018994092941284,0.10988887114728726,0.09545221893785548,0.014436652209431786,0.8592581660763479,,,0.8076514962539632,0.7807900432900433,0.5677489177489178,0.48190492391586304,0.8560606060606061,0.7116883116883117,0.446,0.8332107846901754,0.915594470182621,0.6394261350527545,0.7342732212356073,0.6069716326875361,0.7085072033416697,0.8513102890336934,0.9251267869706046,0.6285714285714286,0.5946969696969697,0.446,0.9073611214515905,0.8860241329064783,0.927383908913966,0.8565729231649511,0.770345596432553,0.802437753267887,0.7506053268765133,0.9281437125748503,0.6767317939609236,0.147314060059944,0.8949682854196902,0.9534205745326382,0.6363561168727099,0.7152404733546788,0.5857253213345401,0.6728637314065452,0.913107448268783,0.9616661535195467,0.587602137101805,0.5517893787021002,0.1490543913935598
convnext_tiny,2,baseline,uniform,0.0,57.05475420691073,4.890353686260906,youden,1.254146695137024,0.08716880264705991,0.08215732725935655,0.005011475387703357,0.9064133016627078,,,0.842790355171364,0.8223520286974647,0.6697270832323428,0.6125202178955078,0.8122448979591836,0.8574821852731591,0.61,0.7576228593208948,0.8591377845807355,0.8203899208263229,0.8894500232339261,0.7121106528771888,0.8183146639606552,0.8521327243007932,0.9160555236716953,0.7149643705463182,0.7224489795918367,0.61,0.8948851852245775,0.871872241307793,0.9165419161676647,0.8502696532210519,0.8182831661092531,0.8089628912689718,0.759941089837997,0.7724550898203593,0.8454706927175843,0.08683434695030334,0.7236824974339034,0.8163226767611935,0.8129226782604034,0.8743384708974868,0.6985422809638994,0.792798700210015,0.8307269032121113,0.8899658232292489,0.6140230303574802,0.6138144705667943,0.13726534810757007
convnext_tiny,3,baseline,uniform,0.0,55.376243045553565,5.1867852251976725,youden,1.2139129638671875,0.07958564155450151,0.05580336210435566,0.023782279450145855,0.8773172336390727,,,0.809168948349952,0.7894026471612678,0.6112852664576802,0.22437578439712524,0.9042145593869731,0.7070707070707071,0.224,0.8618524643486101,0.9370497675071595,0.659551268785821,0.7514634522532665,0.6186496606653227,0.7193625157597172,0.8813777197735828,0.9462537621325504,0.7095959595959596,0.6590038314176245,0.224,0.9002456897927059,0.8784937673498475,0.9204524787015667,0.8437898260787339,0.8049052396878483,0.8208352389359824,0.7712418300653595,0.8832335329341318,0.7584369449378331,0.03888455168691899,0.8438469401339614,0.9156363205384532,0.7208893466626376,0.7932471466830607,0.6382633565300424,0.7280918304113253,0.8873668419090683,0.9398120039549632,0.620880322531396,0.6058845534864687,0.12107222866045166
convnext_tiny,4,baseline,uniform,0.0,45.199012042954564,4.757587023493317,youden,1.2647546529769897,0.08857080691097248,0.06150365034786447,0.027067156563108007,0.8733608945873096,,,0.8127656171627355,0.7872532235739782,0.6193724047497633,0.2792511284351349,0.8764478764478765,0.7429245283018868,0.278,0.8300772826393371,0.9139341607570546,0.6985410039154315,0.7838806250390733,0.6226648107010957,0.725396810636753,0.8723099880512009,0.9360655929825795,0.6839622641509434,0.6177606177606177,0.278,0.8902160155709895,0.8664565628955232,0.912298316333585,0.8466315187831557,0.778149386845039,0.7952585060784293,0.743225806451613,0.8622754491017964,0.7282415630550622,0.04741622434478405,0.820599320372823,0.8973727882848532,0.6894713491514477,0.76459707201047,0.6065896996581928,0.697463428212984,0.8677409261316734,0.9251950420712276,0.5710289523714563,0.5543964232488823,0.12456487924967719
convnext_tiny,5,baseline,uniform,0.0,50.003307627514005,6.121621627593413,youden,1.0263080596923828,0.03832782516833852,0.042199164962269706,-0.003871339793931186,0.8518171367937042,,,0.7641300297441495,0.7623795207356971,0.5477584224953577,0.44088616967201233,0.7756653992395437,0.772093023255814,0.41400000000000003,0.7366649568904418,0.8383983400989404,0.7123660652008392,0.7957014899411483,0.6092612310920296,0.7166628685630557,0.8158081863890223,0.8890670640797435,0.613953488372093,0.5703422053231939,0.41400000000000003,0.9069090947766987,0.885278554790951,0.9272516246370491,0.8578706244959636,0.8060200668896321,0.8265945905701917,0.7769230769230769,0.907185628742515,0.7460035523978685,0.0961971885276545,0.8708464492034451,0.9360641287572018,0.7079252886308328,0.781477473790888,0.6338522680366326,0.7224931169281666,0.9038507970318945,0.9528226480857059,0.6315543246650926,0.611487260163492,0.12791938483064155
